index,Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
3003,16th FINA World Championships 2015,02:07.17,08-07-15,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,165,Kazan,RUS,0:02:07:17
3004,2013 EnergyAustralia Swimming,02:07.17,04-26-13,Women 200 Backstroke LCM Female,AUS,Australia,"HOCKING, Belinda",F,09-14-90,166,Adelaide,AUS,0:02:07:17
3005,Rotterdam Qualification Meet,02:07.17,12-04-20,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,29,Rotterdam,NED,0:02:07:17
3006,US Olympic Team Trials - Swimming,02:07.17,06-30-16,Men 200 Breaststroke LCM Male,USA,United States of America,"PRENOT, Josh",M,07-28-93,30,Omaha,USA,0:02:07:17
3007,18th FINA World Championships 2019,02:07.17,07-21-19,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,12,Gwangju,KOR,0:02:07:17
3008,Victorian Open Championships 2016,02:07.18,01-22-16,Women 200 Backstroke LCM Female,AUS,Australia,"WILSON, Madison",F,05-31-94,167,Melbourne,AUS,0:02:07:18
3009,Antwerp Diamond Speedo Race,02:07.18,03-08-20,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,31,Antwerp,BEL,0:02:07:18
3010,Japan Swim 2017,02:07.18,04-16-17,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,03-14-92,32,Aichi,JPN,0:02:07:18
3011,17th FINA World Championships 2017,02:07.19,07-28-17,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,168,Budapest,HUN,0:02:07:19
3012,FINA/airweave Swimming World Cup 2015,02:07.19,11-02-15,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,169,Doha,QAT,0:02:07:19
3013,13th FINA World Championships 2009,02:07.21,07-31-09,Women 200 Backstroke LCM Female,GBR,Great Britain,"SIMMONDS, Elizabeth",F,01-22-91,170,Rome,ITA,0:02:07:21
3014,Meeting International FFN - Golden Tour,02:07.22,02-08-20,Women 200 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,02-28-97,171,Nice,FRA,0:02:07:22
3015,Olympic Games Rio 2016,02:07.22,08-09-16,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,33,Rio de Janeiro,BRA,0:02:07:22
3016,US Olympic Team Trials - Wave II,02:07.23,06-18-21,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,02-09-02,172,Omaha,USA,0:02:07:23
3017,Russian National Championships (50m),02:07.23,04-11-17,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,08-29-98,173,Moscow,RUS,0:02:07:23
3018,Russian National Championships (50m),02:07.23,04-08-17,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,08-29-98,174,Moscow,RUS,0:02:07:23
3019,Canadian Swimming Trials 2017,02:07.23,04-08-17,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,01-18-96,175,Victoria,CAN,0:02:07:23
3020,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,02:07.23,06-05-21,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,34,Barcelona,ESP,0:02:07:23
3021,15th FINA World Championships 2013,02:07.23,08-02-13,Men 200 Breaststroke LCM Male,HUN,Hungary,"GYURTA, Daniel",M,05-04-89,35,Barcelona,ESP,0:02:07:23
3022,TYR Pro Swim Series Mission Viejo 2021,02:07.24,04-10-21,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,01-25-00,176,Mission Viejo,USA,0:02:07:24
3023,Arena Pro Series Minneapolis 2015,02:07.24,11-14-15,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,05-10-95,177,Minneapolis,USA,0:02:07:24
3024,20th Commonwealth Games 2014,02:07.24,07-27-14,Women 200 Backstroke LCM Female,AUS,Australia,"HOCKING, Belinda",F,09-14-90,178,Glasgow,GBR,0:02:07:24
3025,European Championships 1995,02:07.24,08-22-95,Women 200 Backstroke LCM Female,HUN,Hungary,"EGERSZEGI, Krisztina",F,08-16-74,179,Vienna,AUT,0:02:07:24
3026,Olympic Games Tokyo 2020,02:07.24,07-29-21,Men 200 Breaststroke LCM Male,ROC,ROC,"CHUPKOV, Anton",M,02-22-97,36,Tokyo,JPN,0:02:07:24
3027,Olympic Games London 2012,02:07.26,08-03-12,Women 200 Backstroke LCM Female,GBR,Great Britain,"SIMMONDS, Elizabeth",F,01-22-91,180,London,GBR,0:02:07:26
3028,19th FINA World Championships Budapest 2022,02:07.27,06-24-22,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,08-12-95,181,Budapest,HUN,0:02:07:27
3029,European Championships 2018,02:07.27,08-08-18,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,08-12-95,182,Glasgow,GBR,0:02:07:27
3030,Chinese Nationals,02:07.27,04-13-18,Women 200 Backstroke LCM Female,CHN,People's Republic of China,"PENG, Xuwei",F,01-15-03,183,Shanxi,CHN,0:02:07:27
3031,Chinese National Championships (50m),02:07.27,04-13-18,Women 200 Backstroke LCM Female,CHN,People's Republic of China,"PENG, Xuwei",F,01-15-03,184,Taiyuan,CHN,0:02:07:27
3032,Olympic Games Tokyo 2020,02:07.28,07-30-21,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,01-25-00,185,Tokyo,JPN,0:02:07:28
3033,Longhorn Aquatics Elite Invite & Time Trials,02:07.28,05-21-21,Women 200 Backstroke LCM Female,USA,United States of America,"STADDEN, Isabelle",F,07-09-02,186,Austin,USA,0:02:07:28
3034,US National Championships (50m),02:07.28,07-26-18,Men 200 Breaststroke LCM Male,USA,United States of America,"PRENOT, Josh",M,07-28-93,37,Irvine,USA,0:02:07:28
3035,Olympic Games London 2012,02:07.28,08-01-12,Men 200 Breaststroke LCM Male,HUN,Hungary,"GYURTA, Daniel",M,05-04-89,38,London,GBR,0:02:07:28
3036,Phillips 66 National Championships (50m) 2022,02:07.29,07-27-22,Women 200 Backstroke LCM Female,USA,United States of America,"STADDEN, Isabelle",F,07-09-02,187,Irvine,USA,0:02:07:29
3037,Canadian Swimming Trials 2017,02:07.29,04-08-17,Women 200 Backstroke LCM Female,CAN,Canada,"CALDWELL, Hilary",F,03-13-91,188,Victoria,CAN,0:02:07:29
3038,Russian National Championships (50m),02:07.29,04-20-15,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,08-29-98,189,Moscow,RUS,0:02:07:29
3039,Russian National Championships (50m),02:07.29,04-19-15,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,08-29-98,190,Moscow,RUS,0:02:07:29
3040,18th FINA World Championships 2019,02:07.29,07-25-19,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,12-08-98,39,Gwangju,KOR,0:02:07:29
3041,17th FINA World Championships 2017,02:07.29,07-28-17,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,03-14-92,40,Budapest,HUN,0:02:07:29
3042,17th FINA World Championships 2017,02:07.30,07-28-17,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,191,Budapest,HUN,0:02:07:30
3043,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2017,02:07.30,06-14-17,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,06-05-92,192,Barcelona,ESP,0:02:07:30
3044,20th Commonwealth Games 2014,02:07.30,07-24-14,Men 200 Breaststroke LCM Male,GBR,Great Britain,"MURDOCH, Ross",M,01-14-94,41,Glasgow,GBR,0:02:07:30
3045,European Championships 2016,02:07.30,05-19-16,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,13,London,GBR,0:02:07:30
3046,16th FINA World Championships 2015,02:07.30,08-02-15,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,14,Kazan,RUS,0:02:07:30
3047,TYR Pro Swim Series Westmont 2022,02:07.31,03-04-22,Women 200 Backstroke LCM Female,USA,United States of America,"CURZAN, Claire",F,06-30-04,193,Westmont,USA,0:02:07:31
3048,Austin Grand Prix 2013,02:07.31,01-18-13,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,05-10-95,194,Austin,USA,0:02:07:31
3049,13th FINA World Championships 2009,02:07.31,07-30-09,Men 200 Breaststroke LCM Male,AUS,Australia,"SPRENGER, Christian",M,12-19-85,42,Rome,ITA,0:02:07:31
3050,Russian National  Championships (50m),02:07.32,10-28-20,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,43,Kazan,RUS,0:02:07:32
3051,Olympic Games Barcelona 1992,02:07.34,07-31-92,Women 200 Backstroke LCM Female,HUN,Hungary,"EGERSZEGI, Krisztina",F,08-16-74,195,Barcelona,ESP,0:02:07:34
3052,17th FINA World Championships 2017,02:07.35,07-29-17,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,08-29-98,196,Budapest,HUN,0:02:07:35
3053,Olympic Games Tokyo 2020,02:07.35,07-28-21,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,01-04-99,44,Tokyo,JPN,0:02:07:35
3054,European Championships 2021,02:07.35,05-20-21,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,45,Budapest,HUN,0:02:07:35
3055,2017 National Games ,02:07.35,09-01-17,Men 200 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,05-17-99,46,Tianjin,CHN,0:02:07:35
3056,Meeting Open de la Mediterranee Circuit FFN - Gold,02:07.36,03-05-16,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,197,Marseille,FRA,0:02:07:36
3057,18th FINA World Championships 2019,02:07.36,07-26-19,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,01-04-99,47,Gwangju,KOR,0:02:07:36
3058,Olympic Games Tokyo 2020,02:07.37,07-27-21,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,48,Tokyo,JPN,0:02:07:37
3059,Olympic Games Tokyo 2020,02:07.37,07-27-21,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,01-04-99,49,Tokyo,JPN,0:02:07:37
3060,18th FINA World Championships 2019,02:07.38,07-26-19,Women 200 Backstroke LCM Female,AUS,Australia,"ATHERTON, Minna",F,05-17-00,198,Gwangju,KOR,0:02:07:38
3061,European Championships 2021,02:07.39,05-19-21,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,50,Budapest,HUN,0:02:07:39
3062,17th FINA World Championships 2017,02:07.40,07-28-17,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,07-12-01,199,Budapest,HUN,0:02:07:40
3063,Olympic Games Rio 2016,02:07.40,08-11-16,Women 200 Backstroke LCM Female,CAN,Canada,"CALDWELL, Hilary",F,03-13-91,200,Rio de Janeiro,BRA,0:02:07:40
3064,US National Championships (50m),02:07.41,06-28-17,Men 200 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,08-13-93,51,Indianapolis,USA,0:02:07:41
3065,13th FINA World Championships 2009,02:07.42,07-30-09,Men 200 Breaststroke LCM Male,USA,United States of America,"SHANTEAU, Eric",M,10-01-83,52,Rome,ITA,0:02:07:42
3066,Olympic Games London 2012,02:07.43,08-01-12,Men 200 Breaststroke LCM Male,GBR,Great Britain,"JAMIESON, Michael",M,08-05-88,53,London,GBR,0:02:07:43
3067,17th FINA World Championships 2017,02:07.44,07-27-17,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,54,Budapest,HUN,0:02:07:44
3068,Olympic Games Rio 2016,02:07.45,08-08-16,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,15,Rio de Janeiro,BRA,0:02:07:45
3069,Mare Nostrum -  Meeting International de Canet-en-Roussillon 2017,02:07.46,06-18-17,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,55,Canet-en-Roussillon,FRA,0:02:07:46
3070,Olympic Games Rio 2016,02:07.46,08-10-16,Men 200 Breaststroke LCM Male,KAZ,Kazakhstan,"BALANDIN, Dmitriy",M,04-04-95,56,Rio de Janeiro,BRA,0:02:07:46
3071,13th FINA World Championships 2009,02:07.46,07-27-09,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,16,Rome,ITA,0:02:07:46
3072,17th FINA World Championships 2017,02:07.47,07-28-17,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,57,Budapest,HUN,0:02:07:47
3073,European Championships 2014,02:07.47,08-21-14,Men 200 Breaststroke LCM Male,GER,Germany,"KOCH, Marco",M,01-25-90,58,Berlin,GER,0:02:07:47
3074,Swimmeet Amsterdam,02:07.48,07-02-21,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,59,Amsterdam,NED,0:02:07:48
3075,FINA Champions Swim Series 2019,02:07.48,04-28-19,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,60,Guangzhou,CHN,0:02:07:48
3076,British Swimming Championships (50m),02:07.49,04-19-19,Men 200 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11-12-93,61,Glasgow,GBR,0:02:07:49
3077,17th FINA World Championships 2017,02:07.49,07-23-17,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,17,Budapest,HUN,0:02:07:49
3078,-,02:07.51,06-08-08,Men 200 Breaststroke LCM Male,JPN,Japan,"KITAJIMA, Kosuke",M,09-22-82,62,Tokyo,JPN,0:02:07:51
3079,Olympic Games Rio 2016,02:07.53,08-10-16,Men 200 Breaststroke LCM Male,USA,United States of America,"PRENOT, Josh",M,07-28-93,63,Rio de Janeiro,BRA,0:02:07:53
3080,18th FINA World Championships 2019,02:07.53,07-22-19,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,18,Gwangju,KOR,0:02:07:53
3081,Japan National Championships 2020 (50m),02:07.54,02-07-21,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,64,Tokyo,JPN,0:02:07:54
3082,Antwerp Diamond Speedo Race,02:07.54,03-08-20,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,65,Antwerp,BEL,0:02:07:54
3083,US Olympic Team Trials - Wave II,02:07.55,06-17-21,Men 200 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,07-03-93,66,Omaha,USA,0:02:07:55
3084,Mare Nostrum - 36th Meeting International de Natation de Monte Carlo 2018,02:07.56,06-16-18,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,67,Monaco,MON,0:02:07:56
3085,Olympic Games Rio 2016,02:07.57,08-08-16,Women 200 Medley LCM Female,GBR,Great Britain,"O'CONNOR, Siobhan",F,11-29-95,19,Rio de Janeiro,BRA,0:02:07:57
3086,Olympic Games London 2012,02:07.57,07-31-12,Women 200 Medley LCM Female,CHN,People's Republic of China,"YE, Shiwen",F,03-01-96,20,London,GBR,0:02:07:57
3087,Japan National Championships (50m),02:07.58,04-07-21,Men 200 Breaststroke LCM Male,JPN,Japan,"MURA, Ryuya",M,07-03-96,68,Tokyo,JPN,0:02:07:58
3088,Kosuke Kitajima Cup 2020,02:07.58,01-26-20,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,02-08-01,69,Tokyo,JPN,0:02:07:58
3089,FINA Swimming World Cup 2018,02:07.59,09-09-18,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,70,Kazan,RUS,0:02:07:59
3090,18th FINA World Championships 2019,02:07.60,07-26-19,Men 200 Breaststroke LCM Male,GER,Germany,"KOCH, Marco",M,01-25-90,71,Gwangju,KOR,0:02:07:60
3091,Japan Swim 2017,02:07.60,04-16-17,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,72,Aichi,JPN,0:02:07:60
3092,18th Pan American Games 2019,02:07.62,08-08-19,Men 200 Breaststroke LCM Male,USA,United States of America,"LICON, Will",M,08-25-94,73,Lima,PER,0:02:07:62
3093,58th International Trophy “Settecolli”,02:07.63,06-27-21,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10-22-95,74,Rome,ITA,0:02:07:63
3094,13th FINA World Championships 2009,02:07.64,07-31-09,Men 200 Breaststroke LCM Male,HUN,Hungary,"GYURTA, Daniel",M,05-04-89,75,Rome,ITA,0:02:07:64
3095,Olympic Games Beijing 2008,02:07.64,08-14-08,Men 200 Breaststroke LCM Male,JPN,Japan,"KITAJIMA, Kosuke",M,09-22-82,76,Beijing,CHN,0:02:07:64
3096,13th FINA World Championships 2009,02:07.65,07-31-09,Men 200 Breaststroke LCM Male,USA,United States of America,"SHANTEAU, Eric",M,10-01-83,77,Rome,ITA,0:02:07:65
3097,European Championships 2021,02:07.66,05-20-21,Men 200 Breaststroke LCM Male,SWE,Sweden,"PERSSON, Erik",M,01-12-94,78,Budapest,HUN,0:02:07:66
3098,17th Asian Games 2014,02:07.67,09-23-14,Men 200 Breaststroke LCM Male,KAZ,Kazakhstan,"BALANDIN, Dmitriy",M,04-04-95,79,Incheon,KOR,0:02:07:67
3099,Japan National Championships (50m),02:07.69,12-06-20,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,02-08-01,80,Tokoy,JPN,0:02:07:69
3100,US National Championships (50m),02:07.69,07-26-18,Men 200 Breaststroke LCM Male,USA,United States of America,"PRENOT, Josh",M,07-28-93,81,Irvine,USA,0:02:07:69
3101,18th Luxembourg Euro Meet 2016,02:07.69,01-30-16,Men 200 Breaststroke LCM Male,GER,Germany,"KOCH, Marco",M,01-25-90,82,Luxembourg,LUX,0:02:07:69
3102,Meeting Open de la Mediterranee Circuit FFN - Gold,02:07.69,03-05-16,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,21,Marseille,FRA,0:02:07:69
3103,European Championships 2018,02:07.70,08-05-18,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,83,Glasgow,GBR,0:02:07:70
3104,Olympic Games Rio 2016,02:07.70,08-10-16,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,84,Rio de Janeiro,BRA,0:02:07:70
3105,FINA Swimming World Cup 2019,02:07.71,11-03-19,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,85,Kazan,RUS,0:02:07:71
3106,17th FINA World Championships 2017,02:07.72,07-27-17,Men 200 Breaststroke LCM Male,GBR,Great Britain,"MURDOCH, Ross",M,01-14-94,86,Budapest,HUN,0:02:07:72
3107,Olympic Games Rio 2016,02:07.73,08-09-16,Men 200 Breaststroke LCM Male,GBR,Great Britain,"WILLIS, Andrew",M,12-03-90,87,Rio de Janeiro,BRA,0:02:07:73
3108,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2018,02:07.74,06-14-18,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,88,Barcelona,ESP,0:02:07:74
3109,Meeting International circuit FFN - Golden tour,02:07.74,02-06-16,Men 200 Breaststroke LCM Male,GER,Germany,"KOCH, Marco",M,01-25-90,89,Amiens,FRA,0:02:07:74
3110,13th Pan Pacific Championships 2018,02:07.75,08-12-18,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,90,Tokyo,JPN,0:02:07:75
3111,16th FINA World Championships 2015,02:07.76,08-07-15,Men 200 Breaststroke LCM Male,GER,Germany,"KOCH, Marco",M,01-25-90,91,Kazan,RUS,0:02:07:76
3112,FINA Swimming World Cup 2019,02:07.77,08-04-19,Men 200 Breaststroke LCM Male,USA,United States of America,"WILSON, Andrew",M,09-16-93,92,Tokyo,JPN,0:02:07:77
3113,Japan Open 2017 (50m),02:07.77,05-21-17,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,93,Tokyo,JPN,0:02:07:77
3114,Japan Swim 2015,02:07.77,04-11-15,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,03-14-92,94,Tokyo,JPN,0:02:07:77
3115,European Championships 2014,02:07.77,08-21-14,Men 200 Breaststroke LCM Male,GBR,Great Britain,"MURDOCH, Ross",M,01-14-94,95,Berlin,GER,0:02:07:77
3116,Olympic Games Rio 2016,02:07.78,08-10-16,Men 200 Breaststroke LCM Male,GBR,Great Britain,"WILLIS, Andrew",M,12-03-90,96,Rio de Janeiro,BRA,0:02:07:78
3117,Olympic Games Rio 2016,02:07.78,08-09-16,Men 200 Breaststroke LCM Male,USA,United States of America,"PRENOT, Josh",M,07-28-93,97,Rio de Janeiro,BRA,0:02:07:78
3118,British Gas National Championships (50m),02:07.78,06-26-13,Men 200 Breaststroke LCM Male,GBR,Great Britain,"JAMIESON, Michael",M,08-05-88,98,Sheffield,GBR,0:02:07:78
3119,Russian National Championships (50m),02:07.79,04-27-22,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,99,Kazan,RUS,0:02:07:79
3120,Hancock Prospecting Australian Swimming Trials 2019,02:07.79,06-13-19,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,12-08-98,100,Brisbane,AUS,0:02:07:79
3121,British Gas National Championships (50m),02:07.79,04-10-14,Men 200 Breaststroke LCM Male,GBR,Great Britain,"JAMIESON, Michael",M,08-05-88,101,Glasgow,GBR,0:02:07:79
3122,17th FINA World Championships 2017,02:07.80,07-27-17,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,03-14-92,102,Budapest,HUN,0:02:07:80
3123,Olympic Games Rio 2016,02:07.80,08-10-16,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,03-14-92,103,Rio de Janeiro,BRA,0:02:07:80
3124,13th FINA World Championships 2009,02:07.80,07-31-09,Men 200 Breaststroke LCM Male,LTU,Lithuania,"TITENIS, Giedrius",M,07-21-89,104,Rome,ITA,0:02:07:80
3125,13th FINA World Championships 2009,02:07.80,07-31-09,Men 200 Breaststroke LCM Male,AUS,Australia,"SPRENGER, Christian",M,12-19-85,105,Rome,ITA,0:02:07:80
3126,18th Asian Games 2018,02:07.81,08-21-18,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,03-14-92,106,Jakarta,INA,0:02:07:81
3127,Russian National Championships 2018,02:07.81,04-23-18,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,02-22-97,107,Moscow,RUS,0:02:07:81
3128,US Olympic Team Trials - Swimming,02:07.81,06-29-16,Men 200 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,08-13-93,108,Omaha,USA,0:02:07:81
3129,18th Asian Games 2018,02:07.82,08-21-18,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,109,Jakarta,INA,0:02:07:82
3130,JPN High-School Swimming Competition,02:07.84,08-17-12,Men 200 Breaststroke LCM Male,JPN,Japan,"YAMAGUCHI, Akihiro",M,09-11-94,110,Nagaoka,JPN,0:02:07:84
3131,Phillips 66 International Team Trials 2022,02:07.84,04-30-22,Women 200 Medley LCM Female,USA,United States of America,"WALSH, Alex",F,07-31-01,22,Greensboro,USA,0:02:07:84
3132,European Championships 2021,02:07.85,05-19-21,Men 200 Breaststroke LCM Male,SWE,Sweden,"PERSSON, Erik",M,01-12-94,111,Budapest,HUN,0:02:07:85
3133,Swim Open Stockholm 2017,02:07.85,04-08-17,Men 200 Breaststroke LCM Male,SWE,Sweden,"PERSSON, Erik",M,01-12-94,112,Stockholm,SWE,0:02:07:85
3134,Kosuke Kitajima Cup 2020,02:07.86,01-26-20,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,113,Tokyo,JPN,0:02:07:86
3135,18th FINA World Championships 2019,02:07.86,07-25-19,Men 200 Breaststroke LCM Male,USA,United States of America,"WILSON, Andrew",M,09-16-93,114,Gwangju,KOR,0:02:07:86
3136,US National Championships (50m),02:07.86,08-06-14,Men 200 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,08-13-93,115,Irvine,USA,0:02:07:86
3137,Japan Open 2019,02:07.87,06-02-19,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,116,Tokyo,JPN,0:02:07:87
3138,Olympic Games Rio 2016,02:07.87,08-10-16,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,03-18-97,117,Rio de Janeiro,BRA,0:02:07:87
3139,German National Championships (50m),02:07.88,05-08-16,Men 200 Breaststroke LCM Male,GER,Germany,"KOCH, Marco",M,01-25-90,118,Berlin,GER,0:02:07:88
3140,German National Championships (50m),02:07.88,05-05-16,Men 200 Breaststroke LCM Male,GER,Germany,"KOCH, Marco",M,01-25-90,119,Berlin,GER,0:02:07:88
3141,13th Pan Pacific Championships 2018,02:07.89,08-12-18,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,01-04-99,120,Tokyo,JPN,0:02:07:89
3142,13th FINA World Championships 2009,02:07.89,07-30-09,Men 200 Breaststroke LCM Male,AUS,Australia,"RICKARD, Brenton",M,10-19-83,121,Rome,ITA,0:02:07:89
3143,Phillips 66 National Championships (50m) 2022,02:07.91,07-27-22,Men 200 Breaststroke LCM Male,USA,United States of America,"FALLON, Matt",M,10-03-02,122,Irvine,USA,0:02:07:91
3144,Olympic Games Tokyo 2020,02:07.91,07-28-21,Men 200 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,11-12-93,123,Tokyo,JPN,0:02:07:91
3145,Olympic Games Rio 2016,02:07.91,08-09-16,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,03-14-92,124,Rio de Janeiro,BRA,0:02:07:91
3146,17th FINA World Championships 2017,02:07.91,07-24-17,Women 200 Medley LCM Female,JPN,Japan,"OHASHI, Yui",F,10-18-95,23,Budapest,HUN,0:02:07:91
3147,Meeting Open de la Mediterranee Circuit FFN - Gold,02:07.92,03-05-16,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,24,Marseille,FRA,0:02:07:92
3148,15th FINA World Championships 2013,02:07.92,07-29-13,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,05-03-89,25,Barcelona,ESP,0:02:07:92
3149,Olympic Games Tokyo 2020,02:07.93,07-29-21,Men 200 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,07-03-93,125,Tokyo,JPN,0:02:07:93
